b/h,300,400,500,600,601,700,800,900,901,1000,1100,1200,1201,1300,1400,1500,1600,1700,1800,1801,1900,2000,2100,2200,2300,2400,2500,2600,2700,2701,2800,2900,3000,3100,3200,3300,3400,3500,3600,3601,3700,3800,3900,4000,4100,4200,4300,4400,4500,4501,4600,4700,4800,4900,5000,5100,5200,5300,5400,5401,5500,5600,5700,5800,5900,6000,6100,6200,6300,6301,6400,6500,6600,6700,6800,6900,7000,7100,7200,7201,7300,7400,7500,7600,7700,7800,7900,8000,8100,8101,8200,8300,8400,8500,8600,8700,8800,8900,9000
1300,114.67,117.49,120.30,123.11,155.98,158.77,161.58,164.39,211.81,214.59,217.40,220.22,311.34,314.13,316.94,319.75,322.56,325.37,328.18,466.70,469.48,472.29,475.10,477.91,480.73,483.54,486.35,489.16,491.97,630.49,633.27,636.08,638.89,641.70,644.51,647.33,650.14,652.95,655.76,794.28,797.06,799.87,802.68,805.49,808.30,811.11,813.93,816.74,819.55,958.07,960.85,963.66,966.47,969.28,972.09,974.90,977.71,980.53,983.34,1121.86,1124.64,1127.45,1130.26,1133.07,1135.88,1138.69,1141.50,1144.31,1147.13,1285.65,1288.43,1291.24,1294.05,1296.86,1299.67,1302.48,1305.29,1308.10,1310.91,1449.44,1452.22,1455.03,1457.84,1460.65,1463.46,1466.27,1469.08,1471.89,1474.70,1613.23,1616.01,1618.82,1621.63,1624.44,1627.25,1630.06,1632.87,1635.68,1638.49
1400,116.07,119.00,121.93,124.86,157.86,160.76,163.69,166.62,214.92,217.82,220.75,223.67,315.09,317.99,320.91,323.84,326.77,329.70,332.63,472.31,475.21,478.14,481.07,484.00,486.93,489.86,492.79,495.72,498.65,638.33,641.23,644.16,647.09,650.02,652.95,655.88,658.81,661.73,664.66,804.35,807.25,810.18,813.11,816.03,818.96,821.89,824.82,827.75,830.68,970.36,973.26,976.19,979.12,982.05,984.98,987.91,990.84,993.77,996.70,1136.38,1139.28,1142.21,1145.14,1148.07,1151.00,1153.93,1156.85,1159.78,1162.71,1302.40,1305.30,1308.22,1311.15,1314.08,1317.01,1319.94,1322.87,1325.80,1328.73,1468.41,1471.31,1474.24,1477.17,1480.10,1483.03,1485.96,1488.89,1491.82,1494.75,1634.43,1637.33,1640.26,1643.19,1646.12,1649.04,1651.97,1654.90,1657.83,1660.76
1500,117.47,120.52,123.57,126.62,159.73,162.75,165.79,168.84,218.02,221.04,224.09,227.13,318.83,321.85,324.89,327.94,330.99,334.04,337.08,477.93,480.95,483.99,487.04,490.09,493.14,496.18,499.23,502.28,505.33,646.17,649.19,652.24,655.28,658.33,661.38,664.43,667.48,670.52,673.57,814.41,817.43,820.48,823.53,826.57,829.62,832.67,835.72,838.77,841.81,982.66,985.67,988.72,991.77,994.82,997.87,1000.91,1003.96,1007.01,1010.06,1150.90,1153.92,1156.97,1160.01,1163.06,1166.11,1169.16,1172.20,1175.25,1178.30,1319.14,1322.16,1325.21,1328.26,1331.30,1334.35,1337.40,1340.45,1343.50,1346.54,1487.39,1490.40,1493.45,1496.50,1499.55,1502.59,1505.64,1508.69,1511.74,1514.79,1655.63,1658.65,1661.69,1664.74,1667.79,1670.84,1673.89,1676.93,1679.98,1683.03
1600,118.87,122.04,125.20,128.37,161.60,164.74,167.90,171.07,221.12,224.26,227.43,230.59,322.57,325.71,328.87,332.04,335.21,338.37,341.54,483.54,486.68,489.84,493.01,496.18,499.34,502.51,505.68,508.84,512.01,654.01,657.15,660.31,663.48,666.65,669.81,672.98,676.14,679.31,682.48,824.48,827.62,830.78,833.95,837.12,840.28,843.45,846.61,849.78,852.95,994.95,998.09,1001.25,1004.42,1007.59,1010.75,1013.92,1017.08,1020.25,1023.42,1165.42,1168.56,1171.72,1174.89,1178.06,1181.22,1184.39,1187.55,1190.72,1193.89,1335.89,1339.03,1342.19,1345.36,1348.52,1351.69,1354.86,1358.02,1361.19,1364.36,1506.36,1509.50,1512.66,1515.83,1518.99,1522.16,1525.33,1528.49,1531.66,1534.83,1676.83,1679.97,1683.13,1686.30,1689.46,1692.63,1695.80,1698.96,1702.13,1705.30
1700,120.27,123.55,126.84,130.12,163.47,166.73,170.01,173.30,224.23,227.48,230.77,234.05,326.31,329.57,332.85,336.14,339.42,342.71,345.99,489.16,492.41,495.69,498.98,502.26,505.55,508.83,512.12,515.40,518.69,661.85,665.10,668.39,671.67,674.96,678.24,681.53,684.81,688.10,691.38,834.55,837.80,841.09,844.37,847.66,850.94,854.23,857.51,860.80,864.08,1007.25,1010.50,1013.78,1017.07,1020.35,1023.64,1026.92,1030.21,1033.49,1036.78,1179.94,1183.19,1186.48,1189.76,1193.05,1196.33,1199.62,1202.90,1206.19,1209.47,1352.64,1355.89,1359.18,1362.46,1365.75,1369.03,1372.32,1375.60,1378.89,1382.17,1525.33,1528.59,1531.87,1535.16,1538.44,1541.73,1545.01,1548.30,1551.58,1554.87,1698.03,1701.28,1704.57,1707.85,1711.14,1714.42,1717.71,1720.99,1724.28,1727.56
1800,121.67,125.07,128.47,131.88,165.35,168.71,172.12,175.52,227.33,230.70,234.11,237.51,330.06,333.43,336.83,340.23,343.64,347.04,350.45,494.77,498.14,501.54,504.95,508.35,511.75,515.16,518.56,521.96,525.37,669.69,673.06,676.47,679.87,683.27,686.68,690.08,693.48,696.89,700.29,844.62,847.99,851.39,854.79,858.20,861.60,865.00,868.41,871.81,875.22,1019.54,1022.91,1026.31,1029.72,1033.12,1036.52,1039.93,1043.33,1046.73,1050.14,1194.46,1197.83,1201.24,1204.64,1208.04,1211.45,1214.85,1218.25,1221.66,1225.06,1369.39,1372.76,1376.16,1379.56,1382.97,1386.37,1389.77,1393.18,1396.58,1399.98,1544.31,1547.68,1551.08,1554.49,1557.89,1561.29,1564.70,1568.10,1571.50,1574.91,1719.23,1722.60,1726.01,1729.41,1732.81,1736.22,1739.62,1743.02,1746.43,1749.83
1801,125.44,128.85,132.25,135.66,172.89,176.26,179.66,183.07,234.89,238.26,241.66,245.07,345.14,348.51,351.92,355.32,358.73,362.13,365.54,517.40,520.77,524.17,527.58,530.98,534.39,537.79,541.20,544.60,548.01,699.87,703.24,706.64,710.05,713.45,716.86,720.26,723.67,727.07,730.48,882.34,885.71,889.11,892.52,895.92,899.33,902.73,906.14,909.54,912.95,1064.81,1068.18,1071.58,1074.99,1078.39,1081.80,1085.20,1088.61,1092.01,1095.42,1247.28,1250.65,1254.05,1257.46,1260.86,1264.27,1267.67,1271.08,1274.48,1277.89,1429.75,1433.12,1436.52,1439.93,1443.33,1446.74,1450.14,1453.55,1456.95,1460.35,1612.21,1615.59,1618.99,1622.40,1625.80,1629.21,1632.61,1636.01,1639.42,1642.82,1794.68,1798.06,1801.46,1804.86,1808.27,1811.67,1815.08,1818.48,1821.89,1825.29
1900,126.83,130.35,133.87,137.40,174.74,178.23,181.75,185.27,237.96,241.45,244.97,248.49,348.85,352.34,355.86,359.38,362.90,366.42,369.95,522.96,526.44,529.96,533.49,537.01,540.53,544.05,547.58,551.10,554.62,707.63,711.12,714.64,718.16,721.68,725.21,728.73,732.25,735.77,739.29,892.30,895.79,899.31,902.83,906.36,909.88,913.40,916.92,920.45,923.97,1076.98,1080.46,1083.99,1087.51,1091.03,1094.55,1098.08,1101.60,1105.12,1108.64,1261.65,1265.14,1268.66,1272.18,1275.71,1279.23,1282.75,1286.27,1289.79,1293.32,1446.33,1449.81,1453.33,1456.86,1460.38,1463.90,1467.42,1470.95,1474.47,1477.99,1631.00,1634.49,1638.01,1641.53,1645.05,1648.58,1652.10,1655.62,1659.14,1662.66,1815.67,1819.16,1822.68,1826.20,1829.73,1833.25,1836.77,1840.29,1843.82,1847.34
2000,128.23,131.87,135.51,139.15,176.61,180.22,183.86,187.50,241.07,244.67,248.31,251.95,352.59,356.20,359.84,363.48,367.12,370.76,374.40,528.57,532.17,535.81,539.46,543.10,546.74,550.38,554.02,557.66,561.30,715.47,719.07,722.72,726.36,730.00,733.64,737.28,740.92,744.56,748.20,902.37,905.98,909.62,913.26,916.90,920.54,924.18,927.82,931.46,935.10,1089.27,1092.88,1096.52,1100.16,1103.80,1107.44,1111.08,1114.72,1118.36,1122.00,1276.17,1279.78,1283.42,1287.06,1290.70,1294.34,1297.98,1301.62,1305.26,1308.90,1463.07,1466.68,1470.32,1473.96,1477.60,1481.24,1484.88,1488.52,1492.16,1495.80,1649.97,1653.58,1657.22,1660.86,1664.50,1668.14,1671.78,1675.42,1679.06,1682.71,1836.87,1840.48,1844.12,1847.76,1851.40,1855.04,1858.68,1862.32,1865.97,1869.61
2100,129.63,133.38,137.14,140.90,178.49,182.21,185.97,189.73,244.17,247.89,251.65,255.41,356.33,360.06,363.82,367.58,371.33,375.09,378.85,534.18,537.90,541.66,545.42,549.18,552.94,556.70,560.46,564.22,567.98,723.31,727.03,730.79,734.55,738.31,742.07,745.83,749.59,753.35,757.11,912.44,916.16,919.92,923.68,927.44,931.20,934.96,938.72,942.48,946.24,1101.57,1105.29,1109.05,1112.81,1116.57,1120.33,1124.09,1127.84,1131.60,1135.36,1290.69,1294.41,1298.17,1301.93,1305.69,1309.45,1313.21,1316.97,1320.73,1324.49,1479.82,1483.54,1487.30,1491.06,1494.82,1498.58,1502.34,1506.10,1509.86,1513.62,1668.95,1672.67,1676.43,1680.19,1683.95,1687.71,1691.47,1695.23,1698.99,1702.75,1858.08,1861.80,1865.56,1869.32,1873.08,1876.84,1880.60,1884.35,1888.11,1891.87
